"short_name","overall","potential","value_eur","wage_eur","age","dob","club_name","height_cm","weight_kg","league_name","player_positions","nationality_name","preferred_foot","weak_foot","pace","shooting","passing","dribbling","defending","physic","year","Type"
"João Cancelo",86,87,71500000,185000,27,"1994-05-27","Manchester City",182,74,"English Premier League","RB","Portugal","Right",4,85,71,83,84,80,72,2022,"DEF"
"A. Laporte",86,89,7.7e+07,185000,27,"1994-05-27","Manchester City",191,85,"English Premier League","CB","Spain","Left",3,63,50,72,69,86,80,2022,"DEF"
"K. Coman",86,87,8.1e+07,120000,25,"1996-06-13","FC Bayern München",180,76,"German 1. Bundesliga","LM","France","Right",3,93,76,79,88,30,60,2022,"MID"
"Bernardo Silva",86,87,8e+07,2e+05,26,"1994-08-10","Manchester City",173,64,"English Premier League","CAM","Portugal","Left",3,80,76,83,91,54,67,2022,"MID"
"Marcos Llorente",86,89,8.8e+07,95000,26,"1995-01-30","Atlético de Madrid",184,74,"Spain Primera Division","CM","Spain","Right",4,88,80,81,82,78,82,2022,"MID"
"Rodri",86,89,8.1e+07,175000,25,"1996-06-22","Manchester City",191,82,"English Premier League","CDM","Spain","Right",4,61,70,77,78,82,82,2022,"MID"
"M. Škriniar",86,88,7.4e+07,150000,26,"1995-02-11","Inter",188,80,"Italian Serie A","CB","Slovakia","Right",3,80,41,53,69,87,84,2022,"DEF"
"A. Gómez",85,85,33500000,51000,33,"1988-02-15","Sevilla FC",167,68,"Spain Primera Division","CAM","Argentina","Right",4,87,78,84,87,39,55,2022,"MID"
"Thiago Silva",85,85,9500000,105000,36,"1984-09-22","Chelsea",183,79,"English Premier League","CB","Brazil","Right",3,53,54,72,72,86,78,2022,"DEF"
"David Silva",85,85,2.2e+07,44000,35,"1986-01-08","Real Sociedad",173,67,"Spain Primera Division","CAM","Spain","Left",2,63,74,87,87,52,53,2022,"MID"
"E. Cavani",85,85,2.6e+07,190000,34,"1987-02-14","Manchester United",185,77,"English Premier League","ST","Uruguay","Right",4,66,86,70,76,51,79,2022,"FRD"
"E. Hazard",85,85,5.2e+07,240000,30,"1991-01-07","Real Madrid CF",175,74,"Spain Primera Division","LW","Belgium","Right",4,84,80,82,88,35,63,2022,"FRD"
"L. Bonucci",85,85,17500000,110000,34,"1987-05-01","Juventus",190,85,"Italian Serie A","CB","Italy","Right",4,64,58,69,72,86,80,2022,"DEF"
"I. Gündogan",85,85,51500000,185000,30,"1990-10-24","Manchester City",180,80,"English Premier League","CM","Germany","Right",4,65,80,85,86,73,72,2022,"MID"
"M. Reus",85,85,4.3e+07,95000,32,"1989-05-31","Borussia Dortmund",180,71,"German 1. Bundesliga","CAM","Germany","Right",4,73,84,84,85,47,63,2022,"MID"
"K. Walker",85,85,3.9e+07,170000,31,"1990-05-28","Manchester City",183,83,"English Premier League","RB","England","Right",2,92,63,76,78,80,82,2022,"DEF"
"P. Aubameyang",85,85,43500000,145000,32,"1989-06-18","Arsenal",187,80,"English Premier League","ST","Gabon","Right",4,89,85,75,80,35,69,2022,"FRD"
"Koke",85,85,52500000,90000,29,"1992-01-08","Atlético de Madrid",176,75,"Spain Primera Division","CM","Spain","Right",4,70,75,85,81,79,80,2022,"MID"
"A. Griezmann",85,85,5.3e+07,220000,30,"1991-03-21","Atlético de Madrid",176,73,"Spain Primera Division","ST","France","Left",3,80,84,84,87,52,72,2022,"FRD"
"S. de Vrij",85,85,4.5e+07,145000,29,"1992-02-05","Inter",189,78,"Italian Serie A","CB","Netherlands","Right",3,72,41,64,70,87,79,2022,"DEF"
"Roberto Firmino",85,85,5.4e+07,185000,29,"1991-10-02","Liverpool",181,76,"English Premier League","CF","Brazil","Right",4,77,78,79,89,59,78,2022,"FRD"
"M. Depay",85,86,6.3e+07,220000,27,"1994-02-13","FC Barcelona",176,78,"Spain Primera Division","CF","Netherlands","Right",3,82,83,82,84,30,79,2022,"FRD"
"Carvajal",85,85,47500000,210000,29,"1992-01-11","Real Madrid CF",173,73,"Spain Primera Division","RB","Spain","Right",3,80,54,78,80,81,80,2022,"DEF"
"Jorginho",85,85,52500000,170000,29,"1991-12-20","Chelsea",180,68,"English Premier League","CM","Italy","Right",3,55,67,86,81,73,73,2022,"MID"
"S. Gnabry",85,86,64500000,110000,25,"1995-07-14","FC Bayern München",176,77,"German 1. Bundesliga","RM","Germany","Right",4,83,84,79,86,43,69,2022,"MID"
"S. Milinkovic-Savic",85,87,6.6e+07,1e+05,26,"1995-02-27","Lazio",191,76,"Italian Serie A","CM","Serbia","Right",5,68,79,80,81,79,86,2022,"MID"
"W. Ndidi",85,88,66500000,120000,24,"1996-12-16","Leicester City",183,74,"English Premier League","CDM","Nigeria","Right",4,67,62,69,74,87,83,2022,"MID"
"Oyarzabal",85,89,77500000,57000,24,"1997-04-21","Real Sociedad",181,79,"Spain Primera Division","LW","Spain","Left",3,82,82,81,84,41,63,2022,"FRD"
"L. Martínez",85,89,7.8e+07,145000,23,"1997-08-22","Inter",174,72,"Italian Serie A","ST","Argentina","Right",4,84,81,72,85,48,84,2022,"FRD"
"M. Rashford",85,89,77500000,150000,23,"1997-10-31","Manchester United",186,70,"English Premier League","LM","England","Right",3,90,84,79,84,43,77,2022,"MID"
"A. Hakimi",85,88,69500000,1e+05,22,"1998-11-04","Paris Saint-Germain",181,73,"French Ligue 1","RB","Morocco","Right",4,95,71,78,83,76,78,2022,"DEF"
"M. de Ligt",85,90,7.5e+07,81000,21,"1999-08-12","Juventus",189,89,"Italian Serie A","CB","Netherlands","Right",3,73,59,60,69,84,87,2022,"DEF"
"Z. Ibrahimovic",84,84,14500000,51000,39,"1981-10-03","AC Milan",195,95,"Italian Serie A","ST","Sweden","Right",4,65,87,78,79,34,77,2022,"FRD"
"Jesús Navas",84,84,1.3e+07,30000,35,"1985-11-21","Sevilla FC",172,60,"Spain Primera Division","RB","Spain","Right",2,87,69,81,83,79,58,2022,"DEF"
"Piqué",84,84,13500000,175000,34,"1987-02-02","FC Barcelona",194,85,"Spain Primera Division","CB","Spain","Right",3,58,61,71,68,85,78,2022,"DEF"
"D. Mertens",84,84,20500000,105000,34,"1987-05-06","Napoli",169,61,"Italian Serie A","CF","Belgium","Right",4,85,82,80,88,34,50,2022,"FRD"
"G. Wijnaldum",84,84,40500000,115000,30,"1990-11-11","Paris Saint-Germain",175,74,"French Ligue 1","CM","Netherlands","Right",4,77,75,80,86,79,79,2022,"MID"
"J. Henderson",84,84,29500000,140000,31,"1990-06-17","Liverpool",182,80,"English Premier League","CDM","England","Right",3,66,74,83,79,78,81,2022,"MID"
"Fernando",84,84,2.1e+07,43000,33,"1987-07-25","Sevilla FC",183,76,"Spain Primera Division","CDM","Brazil","Right",3,66,62,75,74,83,82,2022,"MID"
"K. Trippier",84,84,36500000,74000,30,"1990-09-19","Atlético de Madrid",173,69,"Spain Primera Division","RB","England","Right",4,73,63,82,77,80,72,2022,"DEF"
"Iago Aspas",84,84,2.7e+07,46000,33,"1987-08-01","RC Celta de Vigo",176,67,"Spain Primera Division","ST","Spain","Left",4,82,85,79,86,35,63,2022,"FRD"
"D. Alaba",84,84,35500000,195000,29,"1992-06-24","Real Madrid CF",180,78,"Spain Primera Division","CB","Austria","Left",4,77,70,81,80,83,76,2022,"DEF"
"Luis Alberto",84,84,42500000,95000,28,"1992-09-28","Lazio",183,74,"Italian Serie A","CAM","Spain","Right",3,60,76,86,84,57,59,2022,"MID"
"D. Tadic",84,84,33500000,32000,32,"1988-11-20","Ajax",181,76,"Holland Eredivisie","LW","Serbia","Left",3,69,81,85,85,43,76,2022,"FRD"
"W. Ben Yedder",84,84,41500000,88000,30,"1990-08-12","AS Monaco",170,68,"French Ligue 1","ST","France","Right",5,82,84,77,87,39,70,2022,"FRD"
"L. Digne",84,84,40500000,110000,27,"1993-07-20","Everton",178,74,"English Premier League","LB","France","Left",2,79,69,80,80,80,76,2022,"DEF"
"J. Ilicic",84,84,2.7e+07,84000,33,"1988-01-29","Atalanta",190,79,"Italian Serie A","CF","Slovenia","Left",4,75,86,84,86,40,67,2022,"FRD"
"H. Maguire",84,86,42500000,155000,28,"1993-03-05","Manchester United",194,100,"English Premier League","CB","England","Right",3,50,55,69,70,85,87,2022,"DEF"
"S. Savic",84,84,34500000,74000,30,"1991-01-08","Atlético de Madrid",187,80,"Spain Primera Division","CB","Montenegro","Right",3,64,35,57,58,87,76,2022,"DEF"
"M. Sabitzer",84,85,4.8e+07,110000,27,"1994-03-17","FC Bayern München",178,76,"German 1. Bundesliga","CM","Austria","Right",4,78,84,81,80,67,78,2022,"MID"
"L. Shaw",84,86,48500000,140000,25,"1995-07-12","Manchester United",181,75,"English Premier League","LB","England","Left",2,79,54,79,80,81,80,2022,"DEF"
"J. Grealish",84,85,50500000,180000,25,"1995-09-10","Manchester City",180,81,"English Premier League","LW","England","Right",3,80,76,83,88,46,64,2022,"FRD"
"M. Ginter",84,85,42500000,45000,27,"1994-01-19","Borussia Mönchengladbach",191,86,"German 1. Bundesliga","CB","Germany","Right",3,62,58,72,66,86,79,2022,"DEF"
"Felipe",84,84,27500000,74000,32,"1989-05-16","Atlético de Madrid",190,84,"Spain Primera Division","CB","Brazil","Right",3,61,41,58,62,85,84,2022,"DEF"
"Y. Carrasco",84,84,4.5e+07,81000,27,"1993-09-04","Atlético de Madrid",185,73,"Spain Primera Division","LM","Belgium","Right",4,88,81,78,85,45,67,2022,"MID"
"F. Kostic",84,84,42500000,52000,28,"1992-11-01","Eintracht Frankfurt",184,82,"German 1. Bundesliga","LM","Serbia","Left",2,88,77,82,83,68,80,2022,"MID"
"H. Ziyech",84,84,42500000,170000,28,"1993-03-19","Chelsea",181,65,"English Premier League","RW","Morocco","Left",2,78,76,87,83,50,65,2022,"FRD"
"R. Guerreiro",84,84,40500000,79000,27,"1993-12-22","Borussia Dortmund",170,71,"German 1. Bundesliga","LB","Portugal","Left",2,75,77,85,88,76,58,2022,"DEF"
"Ricardo Pereira",84,84,40500000,130000,27,"1993-10-06","Leicester City",175,70,"English Premier League","RB","Portugal","Right",4,83,67,78,82,80,75,2022,"DEF"
"T. Werner",84,87,56500000,155000,25,"1996-03-06","Chelsea",180,76,"English Premier League","ST","Germany","Right",4,91,81,70,82,35,70,2022,"FRD"
"M. Brozovic",84,84,3.7e+07,130000,28,"1992-11-16","Inter",181,68,"Italian Serie A","CDM","Croatia","Right",4,69,74,80,79,79,78,2022,"MID"
"Y. Tielemans",84,87,5.7e+07,125000,24,"1997-05-07","Leicester City",176,72,"English Premier League","CM","Belgium","Right",5,63,79,86,80,71,72,2022,"MID"
"J. Giménez",84,88,5.2e+07,74000,26,"1995-01-20","Atlético de Madrid",185,79,"Spain Primera Division","CB","Uruguay","Right",3,69,45,57,59,86,80,2022,"DEF"
"N. Fekir",84,84,4.5e+07,42000,27,"1993-07-18","Real Betis Balompié",173,75,"Spain Primera Division","CAM","France","Left",4,83,83,82,87,38,79,2022,"MID"
"L. Sané",84,87,5.6e+07,105000,25,"1996-01-11","FC Bayern München",183,80,"German 1. Bundesliga","RM","Germany","Left",2,90,81,79,85,38,68,2022,"MID"
"N. Barella",84,89,63500000,120000,24,"1997-02-07","Inter",172,68,"Italian Serie A","CM","Italy","Right",3,78,71,79,86,75,78,2022,"MID"
"M. Acuña",84,84,3.7e+07,45000,29,"1991-10-28","Sevilla FC",172,69,"Spain Primera Division","LB","Argentina","Left",3,76,74,82,87,79,82,2022,"DEF"
"André Silva",84,85,5.1e+07,110000,25,"1995-11-06","RB Leipzig",185,84,"German 1. Bundesliga","ST","Portugal","Right",3,74,84,69,83,45,77,2022,"FRD"
"F. Kessié",84,86,49500000,51000,24,"1996-12-19","AC Milan",183,88,"Italian Serie A","CDM","Côte d'Ivoire","Right",4,78,74,74,80,82,87,2022,"MID"
"T. Hernández",84,90,62500000,51000,23,"1997-10-06","AC Milan",184,81,"Italian Serie A","LB","France","Left",3,93,71,76,81,77,82,2022,"DEF"
"K. Havertz",84,92,94500000,130000,22,"1999-06-11","Chelsea",188,82,"English Premier League","CAM","Germany","Left",4,82,78,79,84,45,66,2022,"MID"
"P. Foden",84,92,94500000,125000,21,"2000-05-28","Manchester City",171,69,"English Premier League","CAM","England","Left",3,84,78,80,87,56,57,2022,"MID"
"Fernandinho",83,83,7e+06,1e+05,36,"1985-05-04","Manchester City",179,67,"English Premier League","CDM","Brazil","Right",4,59,72,75,78,84,75,2022,"MID"
"C. Vela",83,83,2.9e+07,17000,32,"1989-03-01","Los Angeles FC",177,77,"USA Major League Soccer","RW","Mexico","Left",2,80,82,78,84,31,67,2022,"FRD"
"A. Witsel",83,83,2.4e+07,72000,32,"1989-01-12","Borussia Dortmund",186,81,"German 1. Bundesliga","CDM","Belgium","Right",4,61,72,81,79,82,79,2022,"MID"
"S. Kjær",83,83,23500000,54000,32,"1989-03-26","AC Milan",190,86,"Italian Serie A","CB","Denmark","Right",3,67,55,64,59,85,78,2022,"DEF"
"E. Džeko",83,83,15500000,105000,35,"1986-03-17","Inter",193,80,"Italian Serie A","ST","Bosnia and Herzegovina","Right",5,66,83,72,78,45,76,2022,"FRD"
"J. Boateng",83,83,23500000,81000,32,"1988-09-03","Olympique Lyonnais",190,94,"French Ligue 1","CB","Germany","Right",4,72,50,73,67,84,79,2022,"DEF"
"Azpilicueta",83,83,2.5e+07,125000,31,"1989-08-28","Chelsea",178,77,"English Premier League","CB","Spain","Right",3,66,55,76,72,84,76,2022,"DEF"
"Paulinho",83,83,28500000,61000,32,"1988-07-25","Al Ahli",183,80,"Saudi Abdul L. Jameel League","CM","Brazil","Right",4,72,81,77,81,80,85,2022,"MID"
"Muniain",83,83,36500000,44000,28,"1992-12-19","Athletic Club de Bilbao",170,66,"Spain Primera Division","CAM","Spain","Right",3,81,76,82,87,51,61,2022,"MID"
"Canales",83,83,34500000,38000,30,"1991-02-16","Real Betis Balompié",176,65,"Spain Primera Division","CM","Spain","Left",3,83,80,85,82,67,71,2022,"MID"
"Alex Sandro",83,83,31500000,95000,30,"1991-01-26","Juventus",180,80,"Italian Serie A","LB","Brazil","Left",3,81,65,77,79,78,79,2022,"DEF"
"K. Manolas",83,83,3e+07,80000,30,"1991-06-14","Napoli",189,83,"Italian Serie A","CB","Greece","Right",2,81,25,44,62,85,81,2022,"DEF"
"H. Mkhitaryan",83,83,29500000,82000,32,"1989-01-21","Roma",177,75,"Italian Serie A","CF","Armenia","Right",5,85,80,79,83,56,74,2022,"FRD"
"J. Cuadrado",83,83,1.9e+07,95000,33,"1988-05-26","Juventus",179,72,"Italian Serie A","RB","Colombia","Right",3,90,75,77,87,76,72,2022,"DEF"
"J. Matip",83,83,30500000,130000,29,"1991-08-08","Liverpool",194,90,"English Premier League","CB","Cameroon","Right",2,58,46,68,68,85,78,2022,"DEF"
"S. Coates",83,83,3e+07,21000,30,"1990-10-07","Sporting CP",196,92,"Portuguese Liga ZON SAGRES","CB","Uruguay","Right",3,68,49,55,63,84,87,2022,"DEF"
"F. Acerbi",83,83,17500000,75000,33,"1988-02-10","Lazio",192,88,"Italian Serie A","CB","Italy","Left",3,63,50,62,64,86,83,2022,"DEF"
"Allan",83,83,30500000,1e+05,30,"1991-01-08","Everton",175,74,"English Premier League","CDM","Brazil","Right",3,72,71,77,82,80,79,2022,"MID"
"K. Volland",83,83,3.7e+07,83000,28,"1992-07-30","AS Monaco",179,85,"French Ligue 1","ST","Germany","Left",4,73,85,79,80,42,86,2022,"FRD"
"Morata",83,83,3.7e+07,84000,28,"1992-10-23","Juventus",190,84,"Italian Serie A","ST","Spain","Right",4,82,80,72,81,31,77,2022,"FRD"
"M. Icardi",83,83,3.7e+07,120000,28,"1993-02-19","Paris Saint-Germain",181,75,"French Ligue 1","ST","Argentina","Right",4,69,83,65,77,36,69,2022,"FRD"
"L. Spinazzola",83,83,3.3e+07,72000,28,"1993-03-25","Roma",186,75,"Italian Serie A","LWB","Italy","Right",4,92,64,73,80,78,71,2022,"DEF"
"J. Stones",83,86,4.1e+07,140000,27,"1994-05-28","Manchester City",188,76,"English Premier League","CB","England","Right",4,70,51,71,74,84,78,2022,"DEF"
"R. Jiménez",83,83,35500000,120000,30,"1991-05-05","Wolverhampton Wanderers",188,81,"English Premier League","ST","Mexico","Right",4,72,82,76,81,47,82,2022,"FRD"
"A. Rüdiger",83,84,34500000,130000,28,"1993-03-03","Chelsea",190,85,"English Premier League","CB","Germany","Right",3,75,43,68,64,84,84,2022,"DEF"
"L. Ocampos",83,83,39500000,46000,26,"1994-07-11","Sevilla FC",188,84,"Spain Primera Division","LW","Argentina","Right",3,81,84,78,83,63,84,2022,"FRD"
"M. Kovacic",83,84,41500000,135000,27,"1994-05-06","Chelsea",176,80,"English Premier League","CM","Croatia","Right",4,70,69,83,88,69,70,2022,"MID"
"T. Partey",83,83,36500000,115000,28,"1993-06-13","Arsenal",185,77,"English Premier League","CM","Ghana","Right",3,69,71,82,81,80,84,2022,"MID"
"Gayà",83,86,43500000,48000,26,"1995-05-25","Valencia CF",172,66,"Spain Primera Division","LB","Spain","Left",3,83,61,77,80,79,73,2022,"DEF"
"T. Lemar",83,86,4.8e+07,71000,25,"1995-11-12","Atlético de Madrid",171,66,"Spain Primera Division","LM","France","Left",3,82,76,82,86,59,63,2022,"MID"
"P. Højbjerg",83,86,43500000,105000,25,"1995-08-05","Tottenham Hotspur",185,84,"English Premier League","CDM","Denmark","Right",4,60,71,76,76,81,82,2022,"MID"
"Á. Correa",83,86,4.8e+07,80000,26,"1995-03-09","Atlético de Madrid",171,70,"Spain Primera Division","ST","Argentina","Right",4,85,83,78,87,49,74,2022,"FRD"
"D. Zapata",83,83,35500000,77000,30,"1991-04-01","Atalanta",189,88,"Italian Serie A","ST","Colombia","Right",4,80,81,61,78,35,84,2022,"FRD"
"A. Kramaric",83,83,35500000,59000,30,"1991-06-19","TSG Hoffenheim",177,73,"German 1. Bundesliga","ST","Croatia","Right",4,71,86,76,86,30,71,2022,"FRD"
"Angeliño",83,86,4.6e+07,77000,24,"1997-01-04","RB Leipzig",175,69,"German 1. Bundesliga","LWB","Spain","Left",3,78,71,82,84,76,70,2022,"DEF"
"L. Hernández",83,86,44500000,85000,25,"1996-02-14","FC Bayern München",184,79,"German 1. Bundesliga","LB","France","Left",3,77,54,68,71,84,79,2022,"DEF"
"Marco Asensio",83,86,4.8e+07,190000,25,"1996-01-21","Real Madrid CF",182,76,"Spain Primera Division","RW","Spain","Left",3,82,80,81,83,43,62,2022,"FRD"
"W. Weghorst",83,83,3.7e+07,95000,28,"1992-08-07","VfL Wolfsburg",197,84,"German 1. Bundesliga","ST","Netherlands","Right",3,63,83,59,70,52,86,2022,"FRD"
"R. Gosens",83,83,3.6e+07,65000,26,"1994-07-05","Atalanta",183,76,"Italian Serie A","LWB","Germany","Left",3,82,75,74,79,77,81,2022,"DEF"
"Merino",83,87,5e+07,47000,25,"1996-06-22","Real Sociedad",189,83,"Spain Primera Division","CM","Spain","Left",3,74,78,81,82,82,81,2022,"MID"
"P. Kimpembe",83,87,45500000,90000,25,"1995-08-13","Paris Saint-Germain",189,80,"French Ligue 1","CB","France","Left",3,81,42,68,70,83,86,2022,"DEF"
